expected afs,ms snp=500 t=0.1,sampling snp=500 t=0.1,ms snp=500 t=1,sampling snp=500 t=1,ms snp=500 t=10,sampling snp=500 t=10,ms snp=1000 t=0.1,sampling snp=1000 t=0.1,ms snp=1000 t=1,sampling snp=1000 t=1,ms snp=1000 t=10,sampling snp=1000 t=10,ms snp=5000 t=0.1,sampling snp=5000 t=0.1,ms snp=5000 t=1,sampling snp=5000 t=1,ms snp=5000 t=10,sampling snp=5000 t=10,ms snp=10000 t=0.1,sampling snp=10000 t=0.1,ms snp=10000 t=1,sampling snp=10000 t=1,ms snp=10000 t=10,sampling snp=10000 t=10,ms snp=50000 t=0.1,sampling snp=50000 t=0.1,ms snp=50000 t=1,sampling snp=50000 t=1,ms snp=50000 t=10,sampling snp=50000 t=10
0.28186961182070197,0.284,0.28,0.27,0.28,0.312,0.28,0.306,0.259,0.308,0.259,0.235,0.259,0.2816,0.2812,0.2906,0.2812,0.282,0.2812,0.2735,0.2807,0.2861,0.2807,0.267,0.2807,0.27792,0.27828,0.27998,0.27828,0.28432,0.27828
0.14093480591035099,0.158,0.138,0.17,0.138,0.108,0.138,0.12,0.165,0.143,0.165,0.124,0.165,0.1394,0.1456,0.1394,0.1456,0.1394,0.1456,0.139,0.1404,0.138,0.1404,0.1454,0.1404,0.14166,0.14452,0.14016,0.14452,0.13658,0.14452
0.09395653727356731,0.094,0.098,0.084,0.098,0.07,0.098,0.087,0.098,0.078,0.098,0.114,0.098,0.091,0.0908,0.0854,0.0908,0.083,0.0908,0.0944,0.0946,0.0958,0.0946,0.0856,0.0946,0.09494,0.09536,0.09494,0.09536,0.09582,0.09536
0.07046740295517549,0.07,0.086,0.048,0.086,0.112,0.086,0.068,0.071,0.051,0.071,0.086,0.071,0.062,0.0692,0.0698,0.0692,0.0664,0.0692,0.0703,0.0684,0.0725,0.0684,0.0714,0.0684,0.07146,0.0691,0.07248,0.0691,0.06894,0.0691
0.0563739223641404,0.07,0.062,0.056,0.062,0.072,0.062,0.058,0.044,0.047,0.044,0.052,0.044,0.0628,0.057,0.0596,0.057,0.0462,0.057,0.0586,0.0626,0.0554,0.0626,0.0489,0.0626,0.05726,0.05694,0.05472,0.05694,0.05872,0.05694
0.04697826863678366,0.036,0.04,0.048,0.04,0.028,0.04,0.05,0.04,0.059,0.04,0.085,0.04,0.0446,0.0452,0.0454,0.0452,0.0464,0.0452,0.0472,0.0457,0.0481,0.0457,0.0462,0.0457,0.0476,0.04588,0.0466,0.04588,0.04864,0.04588
0.040267087402957424,0.06,0.056,0.032,0.056,0.012,0.056,0.041,0.05,0.034,0.05,0.04,0.05,0.0406,0.0434,0.041,0.0434,0.0338,0.0434,0.0419,0.0404,0.0406,0.0404,0.0462,0.0404,0.0397,0.04056,0.03962,0.04056,0.04078,0.04056
0.035233701477587746,0.024,0.022,0.036,0.022,0.02,0.022,0.036,0.031,0.031,0.031,0.032,0.031,0.032,0.034,0.0366,0.034,0.0478,0.034,0.0366,0.0356,0.0336,0.0356,0.0409,0.0356,0.03632,0.03404,0.0346,0.03404,0.03566,0.03404
0.031318845757855776,0.022,0.024,0.036,0.024,0.04,0.024,0.033,0.03,0.026,0.03,0.015,0.03,0.0352,0.032,0.0298,0.032,0.0414,0.032,0.0327,0.0318,0.0321,0.0318,0.0337,0.0318,0.03072,0.03132,0.03144,0.03132,0.03148,0.03132
0.0281869611820702,0.022,0.022,0.044,0.022,0.024,0.022,0.034,0.031,0.028,0.031,0.014,0.031,0.0278,0.0266,0.0198,0.0266,0.0422,0.0266,0.0286,0.0289,0.0226,0.0289,0.0294,0.0289,0.02832,0.0293,0.02864,0.0293,0.02376,0.0293
