expected afs,ms snp=500 t=0.1,sampling snp=500 t=0.1,ms snp=500 t=1,sampling snp=500 t=1,ms snp=500 t=10,sampling snp=500 t=10,ms snp=1000 t=0.1,sampling snp=1000 t=0.1,ms snp=1000 t=1,sampling snp=1000 t=1,ms snp=1000 t=10,sampling snp=1000 t=10,ms snp=5000 t=0.1,sampling snp=5000 t=0.1,ms snp=5000 t=1,sampling snp=5000 t=1,ms snp=5000 t=10,sampling snp=5000 t=10,ms snp=10000 t=0.1,sampling snp=10000 t=0.1,ms snp=10000 t=1,sampling snp=10000 t=1,ms snp=10000 t=10,sampling snp=10000 t=10,ms snp=50000 t=0.1,sampling snp=50000 t=0.1,ms snp=50000 t=1,sampling snp=50000 t=1,ms snp=50000 t=10,sampling snp=50000 t=10
0.28186961182070197,0.276,0.292,0.266,0.292,0.25,0.292,0.311,0.283,0.282,0.283,0.266,0.283,0.2808,0.2808,0.2794,0.2808,0.2618,0.2808,0.2806,0.2865,0.2721,0.2865,0.2822,0.2865,0.27968,0.28138,0.28324,0.28138,0.28132,0.28138
0.14093480591035099,0.144,0.16,0.126,0.16,0.106,0.16,0.122,0.157,0.155,0.157,0.156,0.157,0.1404,0.144,0.1332,0.144,0.1344,0.144,0.1377,0.1402,0.1425,0.1402,0.1445,0.1402,0.14162,0.14092,0.13956,0.14092,0.1405,0.14092
0.09395653727356731,0.092,0.074,0.074,0.074,0.136,0.074,0.085,0.091,0.102,0.091,0.067,0.091,0.0908,0.0946,0.1,0.0946,0.0942,0.0946,0.0948,0.0954,0.0978,0.0954,0.0932,0.0954,0.09432,0.09414,0.09514,0.09414,0.09008,0.09414
0.07046740295517549,0.062,0.06,0.094,0.06,0.07,0.06,0.075,0.057,0.054,0.057,0.115,0.057,0.076,0.0694,0.0764,0.0694,0.0682,0.0694,0.0693,0.0754,0.0713,0.0754,0.0617,0.0754,0.06954,0.07058,0.0707,0.07058,0.07012,0.07058
0.0563739223641404,0.056,0.072,0.056,0.072,0.068,0.072,0.061,0.06,0.055,0.06,0.051,0.06,0.0536,0.0572,0.0552,0.0572,0.0508,0.0572,0.0567,0.0566,0.0567,0.0566,0.0523,0.0566,0.0565,0.0576,0.05756,0.0576,0.05324,0.0576
0.04697826863678366,0.034,0.06,0.024,0.06,0.08,0.06,0.052,0.042,0.051,0.042,0.041,0.042,0.0462,0.0478,0.0472,0.0478,0.052,0.0478,0.0464,0.0449,0.0512,0.0449,0.0562,0.0449,0.04768,0.04598,0.04562,0.04598,0.04556,0.04598
0.040267087402957424,0.046,0.04,0.052,0.04,0.046,0.04,0.04,0.045,0.042,0.045,0.029,0.045,0.0376,0.041,0.0364,0.041,0.0392,0.041,0.042,0.0423,0.0404,0.0423,0.0339,0.0423,0.04076,0.04038,0.03894,0.04038,0.04832,0.04038
0.035233701477587746,0.042,0.032,0.046,0.032,0.038,0.032,0.029,0.038,0.028,0.038,0.019,0.038,0.036,0.0298,0.0312,0.0298,0.0426,0.0298,0.0343,0.0323,0.0365,0.0323,0.0345,0.0323,0.034,0.03558,0.03576,0.03558,0.0373,0.03558
0.031318845757855776,0.036,0.018,0.032,0.018,0.012,0.018,0.032,0.033,0.039,0.033,0.04,0.033,0.0336,0.0306,0.033,0.0306,0.0434,0.0306,0.0291,0.0294,0.0316,0.0294,0.0283,0.0294,0.03114,0.03162,0.03114,0.03162,0.0307,0.03162
0.0281869611820702,0.024,0.022,0.024,0.022,0.062,0.022,0.017,0.026,0.026,0.026,0.048,0.026,0.0276,0.027,0.029,0.027,0.031,0.027,0.0294,0.03,0.0269,0.03,0.0307,0.03,0.02786,0.02706,0.02734,0.02706,0.02564,0.02706
0.025624510165518363,0.036,0.022,0.016,0.022,0.006,0.022,0.024,0.023,0.032,0.023,0.045,0.023,0.024,0.0266,0.0264,0.0266,0.04,0.0266,0.0261,0.027,0.0232,0.027,0.023,0.027,0.026,0.02522,0.02522,0.02522,0.02646,0.02522
0.02348913431839183,0.016,0.036,0.04,0.036,0.03,0.036,0.027,0.025,0.023,0.025,0.015,0.025,0.0226,0.0246,0.0272,0.0246,0.0276,0.0246,0.0222,0.0213,0.0274,0.0213,0.0277,0.0213,0.02422,0.02412,0.02328,0.02412,0.02354,0.02412
0.021682277832361693,0.028,0.018,0.024,0.018,0.022,0.018,0.018,0.021,0.015,0.021,0.022,0.021,0.0238,0.0216,0.024,0.0216,0.0176,0.0216,0.0211,0.0205,0.0214,0.0205,0.0188,0.0205,0.02186,0.0216,0.02148,0.0216,0.02694,0.0216
0.020133543701478712,0.02,0.018,0.014,0.018,0.04,0.018,0.018,0.011,0.012,0.011,0.011,0.011,0.018,0.02,0.0196,0.02,0.0276,0.02,0.0219,0.0181,0.0215,0.0181,0.0257,0.0181,0.02026,0.02036,0.02116,0.02036,0.01918,0.02036
0.018791307454713465,0.026,0.022,0.044,0.022,0.016,0.022,0.016,0.02,0.021,0.02,0.004,0.02,0.0222,0.0188,0.0168,0.0188,0.0032,0.0188,0.019,0.0185,0.0169,0.0185,0.0214,0.0185,0.01902,0.01842,0.01882,0.01842,0.01606,0.01842
0.017616850738793873,0.014,0.016,0.026,0.016,0.004,0.016,0.02,0.016,0.02,0.016,0.032,0.016,0.0194,0.0172,0.0196,0.0172,0.0182,0.0172,0.0201,0.0167,0.0178,0.0167,0.0167,0.0167,0.01852,0.01632,0.01704,0.01632,0.01772,0.01632
0.016580565401217762,0.016,0.014,0.012,0.014,0.014,0.014,0.017,0.014,0.009,0.014,0.007,0.014,0.0166,0.0162,0.0142,0.0162,0.0138,0.0162,0.017,0.0142,0.0162,0.0142,0.0186,0.0142,0.01744,0.0172,0.0167,0.0172,0.0152,0.0172
0.015659422878927888,0.018,0.01,0.012,0.01,0.0,0.01,0.018,0.023,0.017,0.023,0.028,0.023,0.0168,0.0176,0.0184,0.0176,0.0154,0.0176,0.0168,0.0163,0.0146,0.0163,0.0155,0.0163,0.01548,0.01714,0.01578,0.01714,0.01716,0.01714
0.014835242727405367,0.014,0.014,0.018,0.014,0.0,0.014,0.018,0.015,0.017,0.015,0.004,0.015,0.014,0.0152,0.0128,0.0152,0.019,0.0152,0.0155,0.0144,0.014,0.0144,0.0151,0.0144,0.0141,0.01438,0.01552,0.01438,0.01496,0.01438
